"city","playlist_title","position","artist","title","reason"
"Chicago","Chicago: The Game Bureau","1","Steve Goodman","Go Cubs Go","The beloved victory anthem of Cubs fans at Wrigley Field"
"Chicago","Chicago: The Game Bureau","2","Captain Stubby and the Buccaneers","Let's Go, Go-Go White Sox","The classic Chicago White Sox fight song"
"Chicago","Chicago: The Game Bureau","3","The Chicago Bears Shufflin' Crew","The Super Bowl Shuffle","The Bears' iconic 1985 championship anthem"
"Chicago","Chicago: The Game Bureau","4","The Alan Parsons Project","Sirius","The legendary Chicago Bulls player-introduction music"
"Chicago","Chicago: The Game Bureau","5","The Fratellis","Chelsea Dagger","The Chicago Blackhawks' famous goal-celebration song"
"Chicago","Chicago: The Game Bureau","6","Frank Sinatra","My Kind of Town (Chicago Is)","A timeless musical tribute to Chicago"
"Chicago","Chicago: The Game Bureau","7","Kanye West","Homecoming","A Chicago native's ode to his hometown"
"Chicago","Chicago: The Game Bureau","8","The Blues Brothers","Sweet Home Chicago","A blues standard inseparable from Chicago music culture"
"Chicago","Chicago: The Game Bureau","9","Chicago","Saturday in the Park","A signature hit from the city's namesake band"
"Chicago","Chicago: The Game Bureau","10","Common","The Corner","A vivid portrait of neighborhood life by a Chicago-born rapper"
