old_id,new_id,game_date,name
mlb20260315-lad-chc-lad-chicago,chc2026lad,2026-03-14,"Los Angeles Fans Takeover Chicago"
mlb20260316-chc-cle-chc-cleveland,cle2026chc,2026-03-15,"Chicago Fans Takeover Cleveland"
mlb20260317-laa-chc-laa-chicago,chc2026laa,2026-03-16,"Los Angeles Fans Takeover Chicago"
mlb20260318-chc-ari-chc-phoenix,ari2026chc,2026-03-17,"Chicago Fans Takeover Phoenix"
mlb20260320-chc-ath-chc-sacramento,ath2026chc,2026-03-19,"Chicago Fans Takeover Sacramento"
mlb20260320-cin-chc-cin-chicago,chc2026cin,2026-03-19,"Cincinnati Fans Takeover Chicago"
mlb20260321-chc-sea-chc-seattle,sea2026chc,2026-03-20,"Chicago Fans Takeover Seattle"
mlb20260322-mil-chc-mil-chicago,chc2026mil,2026-03-21,"Milwaukee Fans Takeover Chicago"
mlb20260323-nyy-chc-nyy-chicago,chc2026nyy,2026-03-22,"New York Fans Takeover Chicago"
mlb20260324-nyy-chc-nyy-chicago,chc2026nyy1,2026-03-23,"New York Fans Takeover Chicago"
mlb20260326-wsh-chc-wsh-chicago,chc2026wsh,2026-03-25,"Washington Fans Takeover Chicago"
mlb20260328-wsh-chc-wsh-chicago,chc2026wsh1,2026-03-27,"Washington Fans Takeover Chicago"
mlb20260329-wsh-chc-wsh-chicago,chc2026wsh2,2026-03-28,"Washington Fans Takeover Chicago"
mlb20260330-laa-chc-laa-chicago,chc2026laa1,2026-03-29,"Los Angeles Fans Takeover Chicago"
mlb20260331-laa-chc-laa-chicago,chc2026laa2,2026-03-30,"Los Angeles Fans Takeover Chicago"
mlb20260401-laa-chc-laa-chicago,chc2026laa3,2026-03-31,"Los Angeles Fans Takeover Chicago"
mlb20260403-chc-cle-chc-cleveland,cle2026chc1,2026-04-02,"Chicago Fans Takeover Cleveland"
mlb20260404-chc-cle-chc-cleveland,cle2026chc2,2026-04-03,"Chicago Fans Takeover Cleveland"
mlb20260405-chc-cle-chc-cleveland,cle2026chc3,2026-04-04,"Chicago Fans Takeover Cleveland"
mlb20260406-chc-tb-chc-tampa-bay,tbr2026chc,2026-04-05,"Chicago Fans Takeover Tampa Bay"
mlb20260407-chc-tb-chc-tampa-bay,tbr2026chc1,2026-04-06,"Chicago Fans Takeover Tampa Bay"
mlb20260408-chc-tb-chc-tampa-bay,tbr2026chc2,2026-04-07,"Chicago Fans Takeover Tampa Bay"
mlb20260410-pit-chc-pit-chicago,chc2026pit,2026-04-09,"Pittsburgh Fans Takeover Chicago"
mlb20260411-pit-chc-pit-chicago,chc2026pit1,2026-04-10,"Pittsburgh Fans Takeover Chicago"
mlb20260412-pit-chc-pit-chicago,chc2026pit2,2026-04-11,"Pittsburgh Fans Takeover Chicago"
mlb20260413-chc-phi-chc-philadelphia,phi2026chc,2026-04-12,"Chicago Fans Takeover Philadelphia"
mlb20260414-chc-phi-chc-philadelphia,phi2026chc1,2026-04-13,"Chicago Fans Takeover Philadelphia"
mlb20260415-chc-phi-chc-philadelphia,phi2026chc2,2026-04-14,"Chicago Fans Takeover Philadelphia"
mlb20260417-nym-chc-nym-chicago,chc2026nym,2026-04-16,"New York Fans Takeover Chicago"
mlb20260418-nym-chc-nym-chicago,chc2026nym1,2026-04-17,"New York Fans Takeover Chicago"
mlb20260419-nym-chc-nym-chicago,chc2026nym2,2026-04-18,"New York Fans Takeover Chicago"
mlb20260420-phi-chc-phi-chicago,chc2026phi,2026-04-19,"Philadelphia Fans Takeover Chicago"
mlb20260421-phi-chc-phi-chicago,chc2026phi1,2026-04-20,"Philadelphia Fans Takeover Chicago"
mlb20260422-phi-chc-phi-chicago,chc2026phi2,2026-04-21,"Philadelphia Fans Takeover Chicago"
mlb20260423-phi-chc-phi-chicago,chc2026phi3,2026-04-22,"Philadelphia Fans Takeover Chicago"
mlb20260424-chc-lad-chc-los-angeles,lad2026chc,2026-04-23,"Chicago Fans Takeover Los Angeles"
mlb20260425-chc-lad-chc-los-angeles,lad2026chc1,2026-04-24,"Chicago Fans Takeover Los Angeles"
mlb20260426-chc-lad-chc-los-angeles,lad2026chc2,2026-04-25,"Chicago Fans Takeover Los Angeles"
mlb20260427-chc-sd-chc-san-diego,sdp2026chc,2026-04-26,"Chicago Fans Takeover San Diego"
mlb20260428-chc-sd-chc-san-diego,sdp2026chc1,2026-04-27,"Chicago Fans Takeover San Diego"
mlb20260429-chc-sd-chc-san-diego,sdp2026chc2,2026-04-28,"Chicago Fans Takeover San Diego"
mlb20260501-ari-chc-ari-chicago,chc2026ari,2026-04-30,"Phoenix Fans Takeover Chicago"
mlb20260502-ari-chc-ari-chicago,chc2026ari1,2026-05-01,"Phoenix Fans Takeover Chicago"
mlb20260503-ari-chc-ari-chicago,chc2026ari2,2026-05-02,"Phoenix Fans Takeover Chicago"
mlb20260504-cin-chc-cin-chicago,chc2026cin1,2026-05-03,"Cincinnati Fans Takeover Chicago"
mlb20260505-cin-chc-cin-chicago,chc2026cin2,2026-05-04,"Cincinnati Fans Takeover Chicago"
mlb20260506-cin-chc-cin-chicago,chc2026cin3,2026-05-05,"Cincinnati Fans Takeover Chicago"
mlb20260507-cin-chc-cin-chicago,chc2026cin4,2026-05-06,"Cincinnati Fans Takeover Chicago"
mlb20260508-chc-tex-chc-dallas,tex2026chc,2026-05-07,"Chicago Fans Takeover Dallas"
mlb20260509-chc-tex-chc-dallas,tex2026chc1,2026-05-08,"Chicago Fans Takeover Dallas"
